"STATE"	"IDCENSUS"	"NAME"	"CONUM"	"ENROLL"	"TOTALREV"	"TFEDREV"	"TSTREV"	"TLOCREV"	"TOTALEXP"	"TCURISAL"	"TCURIBEN"	"PPCSTOT"	"PPSALWG"	"PPEMPBEN"	"PPITOTAL"	"PPISALWG"	"PPIEMBEN"
"34"	"AL"	1502000200000	"COVINGTON COUNTY SCHOOL DISTRICT"	1039	3178	31073	3635	19108	8330	29870	10741	4183	8790	5027	2117	5283	3380	1316
"35"	"AL"	1502000400000	"OPP CITY SCHOOL DISTRICT"	1039	1357	13595	1586	8108	3901	13643	4415	1673	8808	4940	2009	4827	3254	1233
"36"	"AL"	1502100100000	"CRENSHAW COUNTY SCHOOL DISTRICT"	1041	2239	21294	2690	13343	5261	21222	7475	2981	8957	5004	2082	5310	3339	1331
"37"	"AL"	1502200100000	"CULLMAN CITY SCHOOL DISTRICT"	1043	3130	30963	2857	15071	13035	30044	11401	4439	9015	5135	1996	5777	3642	1418
"38"	"AL"	1502200200000	"CULLMAN COUNTY SCHOOL DISTRICT"	1043	9573	94578	8181	58949	27448	93836	32564	12397	9114	5156	2101	5341	3402	1295
"39"	"AL"	1502300100000	"DALE COUNTY SCHOOL DISTRICT"	1045	3079	29011	2786	18692	7533	27492	9678	3715	8334	4781	1945	4863	3143	1207
"40"	"AL"	1502300200000	"OZARK CITY SCHOOL DISTRICT"	1045	2131	23012	2548	14093	6371	23479	7017	2711	9468	5238	2151	5200	3293	1272
"41"	"AL"	1502370100000	"DALEVILLE CITY SCHOOL DISTRICT"	1045	1078	10999	1804	6770	2425	10652	3536	1413	9296	5088	2077	5147	3280	1311
"42"	"AL"	1502400100000	"DALLAS COUNTY SCHOOL DISTRICT"	1047	3243	36746	7636	22598	6512	35428	10699	4208	10544	5806	2468	5280	3299	1298
"43"	"AL"	1502400200000	"SELMA CITY SCHOOL DISTRICT"	1047	3798	35241	6753	21192	7296	39712	11829	4783	8910	4897	2027	4993	3115	1259
"44"	"AL"	1502500100000	"DE KALB COUNTY SCHOOL DISTRICT"	1049	9015	84601	11216	54725	18660	83676	30896	11841	8742	4827	2009	5180	3427	1313
"45"	"AL"	1502500200000	"FORT PAYNE CITY SCHOOL DISTRICT"	1049	3205	28952	3630	17672	7650	28145	10193	3939	8223	4606	1865	5046	3180	1229
"46"	"AL"	1502600100000	"ELMORE COUNTY SCHOOL DISTRICT"	1051	11232	98521	8978	61887	27656	96876	34304	13382	7951	4557	1903	4822	3054	1191
"47"	"AL"	1502600200000	"TALLASSEE CITY SCHOOL DISTRICT"	1051	1854	17726	1549	10823	5354	17696	6431	2516	8846	4907	1952	5405	3469	1357
"48"	"AL"	1502700200000	"BREWTON CITY SCHOOL DISTRICT"	1053	1158	11443	1045	6727	3671	26652	4243	1544	9330	5239	2001	5758	3664	1333
"49"	"AL"	1502700300000	"ESCAMBIA COUNTY SCHOOL DISTRICT"	1053	4479	45791	5948	27364	12479	48595	14993	6044	9858	5357	2317	5421	3347	1349
"50"	"AL"	1502800100000	"ATTALLA CITY SCHOOL DISTRICT"	1055	1638	16009	1940	10917	3152	17120	5801	2229	9186	5375	2129	5460	3542	1361
"51"	"AL"	1502800200000	"ETOWAH COUNTY BOARD OF EDUCATION"	1055	8802	79322	7905	53478	17939	79601	27528	10580	8206	4812	1989	4695	3127	1202
"52"	"AL"	1502800300000	"GADSDEN CITY SCHOOL DISTRICT"	1055	5226	53345	9295	29199	14851	52913	18056	6967	9590	5463	2152	5472	3455	1333
"53"	"AL"	1502900100000	"FAYETTE COUNTY SCHOOL DISTRICT"	1057	2403	22528	2639	14527	5362	21990	7434	2950	8742	5000	2070	4784	3094	1228
"54"	"AL"	1503000100000	"FRANKLIN COUNTY SCHOOL DISTRICT"	1059	3388	33368	4304	21231	7833	34380	11883	4623	9325	5381	2232	5400	3507	1365
"55"	"AL"	1503000200000	"RUSSELLVILLE CITY SCHOOLS"	1059	2743	26359	3258	16084	7017	27093	9361	3394	8776	5029	1946	5219	3413	1237
"56"	"AL"	1503100100000	"GENEVA COUNTY SCHOOL DISTRICT"	1061	2742	26402	3640	17603	5159	25792	8567	3449	8655	4674	2008	4960	3124	1258
"57"	"AL"	1503180100000	"GENEVA CITY SCHOOL DISTRICT"	1061	1275	13016	1227	8750	3039	11983	4391	1688	9018	5111	2067	5449	3444	1324
"58"	"AL"	1503200100000	"GREENE COUNTY SCHOOL DISTRICT"	1063	1173	14695	2381	7645	4669	14897	4288	1646	11625	6240	2517	5381	3656	1403
"59"	"AL"	1503300100000	"HALE COUNTY SCHOOL DISTRICT"	1065	2687	28497	3778	17349	7370	27221	8889	3525	8918	5032	2092	5052	3308	1312
"60"	"AL"	1503400100000	"HENRY COUNTY SCHOOL DISTRICT"	1067	2540	24166	2573	15381	6212	24025	7866	3176	8362	4770	2022	4709	3097	1250
"61"	"AL"	1503500100000	"DOTHAN CITY SCHOOL DISTRICT"	1069	9336	88129	12655	50399	25075	85409	32952	12881	8947	5150	2108	5408	3530	1380
"62"	"AL"	1503500200000	"HOUSTON COUNTY SCHOOL DISTRICT"	1069	6343	55122	6092	33481	15549	55759	20642	8068	8381	4632	1934	4946	3254	1272
"63"	"AL"	1503600100000	"JACKSON COUNTY SCHOOL DISTRICT"	1071	5528	58256	6854	35239	16163	58329	18162	6912	9579	5512	2279	5044	3285	1250
"64"	"AL"	1503600200000	"SCOTTSBORO CITY SCHOOL DISTRICT"	1071	2536	27634	2085	15142	10407	26990	8874	3407	9522	5573	2248	5274	3499	1343
"65"	"AL"	1503700100000	"BESSEMER CITY SCHOOL DISTRICT"	1073	3740	41288	7480	21905	11903	42030	12683	4992	10377	5593	2248	5442	3391	1335
"66"	"AL"	1503700200000	"BIRMINGHAM CITY SCHOOL DISTRICT"	1073	24693	273626	43262	125189	105175	272202	83511	30673	10316	5546	2051	5713	3382	1242
"67"	"AL"	1503700300000	"FAIRFIELD CITY SCHOOL DISTRICT"	1073	1782	18479	3282	11172	4025	18371	5922	2328	10021	5209	2079	5227	3323	1306
"68"	"AL"	1503700400000	"JEFFERSON COUNTY BOARD OF EDUCATION"	1073	36092	344274	33131	199350	111793	338349	118360	44682	8795	5122	2055	4980	3279	1238
"69"	"AL"	1503700500000	"TARRANT CITY SCHOOL DISTRICT"	1073	1174	12580	2255	6940	3385	12468	3733	1487	10182	5551	2211	5004	3180	1267
"70"	"AL"	1503710100000	"LEEDS CITY SCHOOL DISTRICT"	1073	1905	27699	1522	10713	15464	32285	6400	2445	9083	4957	1912	5214	3360	1283
"71"	"AL"	1503710200000	"TRUSSVILLE CITY SCHOOL DISTRICT"	1073	4456	47842	971	23259	23612	65049	15257	5582	9457	5302	2052	5201	3424	1253
"72"	"AL"	1503740100000	"HOOVER CITY SCHOOL DISTRICT"	1073	13910	168040	6088	69229	92723	165436	60017	21386	10799	6353	2474	6598	4315	1537
"73"	"AL"	1503750100000	"MOUNTAIN BROOK SCHOOLS"	1073	4371	61403	793	20122	40488	59779	22776	8131	13037	7481	2709	8361	5211	1860
"74"	"AL"	1503780100000	"HOMEWOOD CITY SCHOOL DISTRICT"	1073	4069	52340	2202	17538	32600	47726	17797	6542	11023	6699	2417	6639	4374	1608
"75"	"AL"	1503780200000	"MIDFIELD CITY SCHOOL DISTRICT"	1073	1134	11987	2401	6921	2665	12501	3402	1394	10096	5257	2147	4777	3000	1229
"76"	"AL"	1503780400000	"VESTAVIA HILLS CITY SCHOOL DISTRICT"	1073	7015	78089	1738	33190	43161	88933	29732	10989	10709	6107	2263	6656	4238	1567
"77"	"AL"	1503800100000	"LAMAR COUNTY SCHOOL DISTRICT"	1075	2351	22275	2637	14731	4907	23060	7051	2741	8578	4706	1971	4715	2999	1166
"78"	"AL"	1503900100000	"FLORENCE CITY SCHOOL DISTRICT"	1077	4519	55334	5078	23387	26869	52958	17905	6779	10933	5618	2152	6363	3962	1500
"79"	"AL"	1503900200000	"LAUDERDALE COUNTY SCHOOL DISTRICT"	1077	8445	76888	6248	48206	22434	76362	28693	11043	8575	4832	1991	5326	3398	1308
"80"	"AL"	1504000100000	"LAWRENCE COUNTY SCHOOL DISTRICT"	1079	4841	51703	5697	31283	14723	53773	16069	6255	9127	5157	2145	5199	3319	1292
"81"	"AL"	1504100100000	"LEE COUNTY SCHOOL DISTRICT"	1081	9771	95695	7077	56426	32192	94539	34752	13420	9135	5231	2171	5452	3557	1373
"82"	"AL"	1504100200000	"OPELIKA CITY SCHOOLS"	1081	4240	47847	4849	22979	20019	47136	16365	6339	10372	5773	2361	6264	3860	1495
"83"	"AL"	1504170100000	"AUBURN CITY SCHOOL DISTRICT"	1081	8310	134959	4440	41613	88906	131695	27868	10590	9042	5122	2028	5378	3354	1274
"84"	"AL"	1504200100000	"ATHENS CITY SCHOOL DISTRICT"	1083	3933	40524	2990	19155	18379	40785	13556	5208	9532	5178	2023	5566	3447	1324
"85"	"AL"	1504200200000	"LIMESTONE COUNTY SCHOOL DISTRICT"	1083	8789	88553	6940	53070	28543	106503	31019	12027	9795	5302	2157	5779	3529	1368
"86"	"AL"	1504300100000	"LOWNDES COUNTY SCHOOL DISTRICT"	1085	1562	21642	6200	10961	4481	21098	5977	2538	12670	6977	2985	6270	3827	1625
"87"	"AL"	1504400100000	"MACON COUNTY SCHOOL DISTRICT"	1087	2134	23758	4356	14019	5383	26578	6898	2537	11214	5964	2324	5142	3232	1189
"88"	"AL"	1504500100000	"HUNTSVILLE CITY SCHOOL DISTRICT"	1089	23827	267800	27807	113117	126876	410031	78156	29313	10692	5100	1916	5835	3280	1230
"89"	"AL"	1504500200000	"MADISON COUNTY SCHOOL DISTRICT"	1089	19452	187046	12291	111079	63676	185652	65102	24947	8519	5072	2058	5011	3347	1282
"90"	"AL"	1504530100000	"MADISON CITY SCHOOL DISTRICT"	1089	10011	105927	5007	56050	44870	101154	34205	12648	9337	5174	1996	5525	3417	1263
"91"	"AL"	1504600100000	"DEMOPOLIS CITY SCHOOL DISTRICT"	1091	2289	19779	2120	12518	5141	19572	7642	2957	8080	4772	1868	5028	3339	1292
"92"	"AL"	1504600200000	"MARENGO COUNTY SCHOOL DISTRICT"	1091	1090	11585	1540	7058	2987	11678	3716	1479	10386	5623	2475	5298	3409	1357
"93"	"AL"	1504670100000	"LINDEN CITY SCHOOL DISTRICT"	1091	518	5672	863	3617	1192	5448	1806	721	10409	5600	2251	5351	3486	1392
"94"	"AL"	1504700100000	"MARION COUNTY SCHOOL DISTRICT"	1093	3405	31887	3573	20888	7426	31060	11237	4312	8735	4915	1995	5290	3300	1266
"95"	"AL"	1504700200000	"WINFIELD CITY SCHOOL DISTRICT"	1093	1266	12965	1269	7723	3973	13028	4418	1743	9227	5149	2086	5630	3490	1377
"96"	"AL"	1504800100000	"MARSHALL COUNTY SCHOOL DISTRICT"	1095	5635	56422	7747	35295	13380	64739	17341	6663	9377	5209	2119	4867	3077	1182
"97"	"AL"	1504810100000	"BOAZ CITY SCHOOL DISTRICT"	1095	2310	22813	2457	13373	6983	22413	7495	2827	9274	5248	2032	5068	3245	1224
"98"	"AL"	1504840100000	"ALBERTVILLE CITY SCHOOL DISTRICT"	1095	5214	49795	7277	28885	13633	46778	14772	5662	8226	4450	1810	4636	2833	1086
"99"	"AL"	1504880100000	"ARAB CITY SCHOOL DISTRICT"	1095	2540	23606	1544	15096	6966	26202	9815	3687	9217	5341	2062	5736	3864	1452
"100"	"AL"	1504880200000	"GUNTERSVILLE CITY SCHOOL DISTRICT"	1095	1999	20195	1878	10821	7496	19412	6834	2548	9235	5361	2069	5286	3419	1275
"101"	"AL"	1504900100000	"MOBILE COUNTY SCHOOL DISTRICT"	1097	57581	564939	78217	310545	176177	606882	176237	69342	9037	4938	2069	4796	3061	1204
"102"	"AL"	1504910100000	"SARALAND CITY SCHOOLS"	1097	2953	28801	2047	15459	11295	37818	8215	3313	8095	4162	1704	4297	2782	1122
"103"	"AL"	1504910200000	"CHICKASAW CITY SCHOOLS"	1097	1032	9219	1619	5489	2111	9386	3032	1281	8765	4634	1967	4926	2938	1241
"104"	"AL"	1504910300000	"SATSUMA CITY SCHOOL DISTRICT"	1097	1308	13229	1148	7742	4339	18106	3944	1533	9784	4550	1780	4915	3015	1172
"105"	"AL"	1505000100000	"MONROE COUNTY SCHOOL DISTRICT"	1099	3600	33410	5253	20650	7507	33507	11926	4669	8986	4976	2089	5232	3313	1297
"106"	"AL"	1505100100000	"MONTGOMERY COUNTY SCHOOL DISTRICT"	1101	30667	301121	42712	169038	89371	296474	97220	38531	8779	4984	2072	4998	3170	1256
"107"	"AL"	1505100200000	"PIKE ROAD SCHOOL DISTRICT"	1101	1125	9473	326	5276	3871	8943	2563	942	7571	3284	1196	4496	2278	837
"108"	"AL"	1505200100000	"DECATUR CITY SCHOOL DISTRICT"	1103	8693	99476	9576	45791	44109	109323	34846	13265	9961	5674	2268	6307	4009	1526
"109"	"AL"	1505200200000	"MORGAN COUNTY SCHOOL DISTRICT"	1103	7757	78919	6537	41600	30782	81220	25300	9509	9403	5187	2124	5224	3262	1226
"110"	"AL"	1505290100000	"HARTSELLE CITY SCHOOL DISTRICT"	1103	3068	30401	1588	17791	11022	29601	11417	4208	9012	5371	2075	5524	3721	1372
"111"	"AL"	1505300100000	"PERRY COUNTY SCHOOL DISTRICT"	1105	1525	16271	3616	10175	2480	15450	5062	2033	9657	5346	2199	5428	3319	1333
"112"	"AL"	1505400100000	"PICKENS COUNTY SCHOOL DISTRICT"	1107	2633	26826	3541	17386	5899	27921	8622	3426	9511	5130	2189	5281	3275	1301
"113"	"AL"	1505500100000	"PIKE COUNTY SCHOOL DISTRICT"	1109	2189	23840	3437	13858	6545	23530	7505	2906	10308	5626	2298	5365	3429	1328
"114"	"AL"	1505500200000	"TROY CITY SCHOOL DISTRICT"	1109	1981	20582	2097	10239	8246	19199	7301	2883	9019	5200	2107	5651	3686	1455
"115"	"AL"	1505600100000	"RANDOLPH COUNTY SCHOOL DISTRICT"	1111	2228	21531	2475	13280	5776	23702	7735	3083	9392	5269	2232	5385	3472	1384
"116"	"AL"	1505600200000	"ROANOKE CITY SCHOOL DISTRICT"	1111	1542	13567	1714	8577	3276	13381	4838	1935	8240	4600	1881	5108	3137	1255
"117"	"AL"	1505700100000	"PHENIX CITY SCHOOL DISTRICT"	1113	7043	66280	7735	40838	17707	68862	22669	8880	8572	4753	1932	4966	3219	1261
"118"	"AL"	1505700200000	"RUSSELL COUNTY SCHOOL DISTRICT"	1113	3598	33852	4285	21466	8101	32367	10790	4291	8578	4832	2060	4702	2999	1193
"119"	"AL"	1505800100000	"ST CLAIR COUNTY SCHOOL DISTRICT"	1115	9056	80428	8311	51603	20514	80152	27917	11112	8121	4584	1854	4767	3083	1227
"120"	"AL"	1505860100000	"PELL CITY SCHOOL DISTRICT"	1115	4023	37455	3535	23100	10820	36396	12989	5077	8500	4800	1971	5033	3229	1262
"121"	"AL"	1505900100000	"SHELBY COUNTY SCHOOL DISTRICT"	1117	20064	207108	11491	107556	88061	204630	67864	26267	9285	5400	2196	5309	3382	1309
"122"	"AL"	1506000100000	"SUMTER COUNTY SCHOOL DISTRICT"	1119	1593	19254	3747	11192	4315	19797	5467	2149	11556	6073	2585	5640	3432	1349
"123"	"AL"	1506100100000	"SYLACAUGA CITY SCHOOL DISTRICT"	1121	2256	22318	2431	13419	6468	30634	7978	3099	9738	5307	2134	5686	3536	1374
"124"	"AL"	1506100200000	"TALLADEGA CITY SCHOOL DISTRICT"	1121	2051	21934	2863	13355	5716	22472	7306	2881	10376	5584	2294	5644	3562	1405
"125"	"AL"	1506100300000	"TALLADEGA COUNTY SCHOOL DISTRICT"	1121	7777	77788	8297	43662	25829	76784	22766	8821	9132	4984	2079	4622	2927	1134
"126"	"AL"	1506200100000	"TALLAPOOSA COUNTY SCHOOL DISTRICT"	1123	2894	29725	3597	14928	11200	26794	9133	3497	8782	4917	2001	4962	3156	1208
"127"	"AL"	1506200200000	"ALEXANDER CITY SCHOOL DISTRICT"	1123	3102	32454	3717	17018	11719	29642	11175	4243	9031	5050	1943	5678	3603	1368
"128"	"AL"	1506300100000	"TUSCALOOSA CITY SCHOOL DISTRICT"	1125	10418	126506	16560	51035	58911	125943	35560	14031	10649	5696	2317	5498	3413	1347
"129"	"AL"	1506300200000	"TUSCALOOSA COUNTY SCHOOL DISTRICT"	1125	18352	180014	15123	102089	62802	172552	55700	22048	8459	4695	1973	4735	3035	1201
"130"	"AL"	1506400200000	"JASPER CITY SCHOOL DISTRICT"	1127	2746	27747	2406	14860	10481	29622	10210	3946	9315	5409	2153	5802	3718	1437
"131"	"AL"	1506400300000	"WALKER COUNTY SCHOOL DISTRICT"	1127	7827	77323	10228	44847	22248	76823	26768	10383	9195	5297	2130	5267	3420	1327
"132"	"AL"	1506500100000	"WASHINGTON COUNTY SCHOOL DISTRICT"	1129	2936	28275	3865	16255	8155	28507	9648	3729	8895	4976	2053	5335	3286	1270
"133"	"AL"	1506600100000	"WILCOX COUNTY SCHOOL DISTRICT"	1131	1795	19633	3718	11702	4213	19943	6174	2413	10175	5687	2453	5162	3440	1344
"134"	"AL"	1506700100000	"WINSTON COUNTY SCHOOL DISTRICT"	1133	2449	26086	2743	15593	7750	25019	8138	3097	9800	5665	2383	5034	3323	1265
"135"	"AL"	1506780100000	"HALEYVILLE CITY SCHOOL DISTRICT"	1133	1711	16709	1828	9904	4977	16158	5900	2302	8959	5094	2026	5299	3448	1345
"136"	"AK"	2000000010100	"MOUNT EDGECUMBE HIGH SCHOOL AGENCY"	2220	426	12154	3725	8420	9	12112	1405	657	26282	8277	3796	13221	3298	1542
"137"	"AK"	2000000030000	"ALASKA GATEWAY REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2240	378	11433	2284	9048	101	12381	3288	1745	32257	13114	7056	14664	8698	4616
"139"	"AK"	2000000030200	"KUSPUK REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2050	410	14354	6430	7150	774	14494	3406	1874	34149	13051	7041	14641	8307	4571
"140"	"AK"	2000000030300	"YUPIIT SCHOOLS"	2050	461	12348	4347	7167	834	15309	3436	2001	32234	11790	6805	13842	7453	4341
"141"	"AK"	2000000030400	"SOUTHWEST REGION SCHOOLS"	2070	591	26198	10689	14962	547	24097	4365	2036	33677	13438	6000	11843	7386	3445
"142"	"AK"	2000000030500	"SOUTHEAST ISLANDS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2198	184	7820	822	6665	333	9334	1802	1178	47636	16924	10147	19560	9793	6402
"143"	"AK"	2000000030600	"BERING STRAIT REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2180	1895	48238	10451	34684	3103	66782	20141	9816	32886	14756	7092	18740	10628	5180
"144"	"AK"	2000000030700	"CHATHAM REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2105	172	5067	814	4140	113	5074	1367	674	28093	11785	5942	13366	7948	3919
"145"	"AK"	2000000030800	"LOWER KUSKOKWIM REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2050	4293	146279	17720	108126	20433	172073	31051	17425	30757	11426	6512	12852	7233	4059
"146"	"AK"	2000000030900	"DELTA-GREELY REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2240	777	13494	1460	11811	223	13117	4115	2443	16875	7967	4817	9332	5296	3144
"147"	"AK"	2000000031000	"CHUGACH REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2020	363	6357	1672	3615	1070	6729	1787	899	17931	6132	3160	12430	4923	2477
"148"	"AK"	2000000031100	"COPPER RIVER REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2261	426	8679	1013	7458	208	8392	2257	1304	19221	8230	4850	10110	5298	3061
"149"	"AK"	2000000031200	"LOWER YUKON REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2158	2030	61350	24947	35250	1153	61506	13930	9717	28019	11280	8000	13461	6862	4787
"150"	"AK"	2000000031300	"KASHUNAMIUT SCHOOL DISTRICT"	2158	333	7874	3044	4342	488	10008	2059	1626	29174	11237	8568	12586	6183	4883
"151"	"AK"	2000000031400	"IDITAROD REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2290	310	7451	878	6365	208	7753	1540	999	24000	7987	4819	9571	4968	3223
"152"	"AK"	2000000031500	"YUKON FLATS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2290	261	9650	1889	7636	125	10549	2410	1270	40119	14720	8360	15050	9234	4866
"153"	"AK"	2000000031600	"YUKON-KOYUKUK REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2090	1591	23948	4476	19000	472	24538	4622	2876	12860	4437	2705	7047	2905	1808
"154"	"AK"	2000000031800	"ANNETTE ISLAND REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2198	337	10463	6840	3444	179	8529	2572	1333	23905	11350	5941	14359	7632	3955
"155"	"AK"	2000000031900	"PRIBILOF ISLANDS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA)"	2016	82	3206	1053	1718	435	3011	665	477	33415	12768	7476	16134	8110	5817
"156"	"AK"	2100400130100	"BRISTOL BAY BOROUGH SCHOOL DISTRICT"	2060	132	3986	359	2037	1590	4292	932	545	32348	11235	6212	13811	7061	4129
"157"	"AK"	2100600230100	"FAIRBANKS N STAR BOROUGH SCHOOL DISTRICT"	2090	13901	249155	32095	156833	60227	233935	73386	43308	16498	8413	5053	9156	5279	3115
"158"	"AK"	2100700330100	"HAINES BOROUGH SCHOOL DISTRICT"	2100	281	6698	437	4377	1884	6644	1947	1151	21338	10089	5943	12498	6929	4096
"159"	"AK"	2100900430100	"KENAI PENINSULA BOROUGH SCHOOL DISTRICT"	2122	8992	161721	9426	102241	50054	163029	52301	33463	17604	8305	5407	10194	5816	3721
"160"	"AK"	2101000530100	"KETCHIKAN-GATEWAY BOROUGH SCHOOL DISTRICT"	2130	2340	42426	2348	30715	9363	40414	14104	7277	16706	8793	4553	10015	6027	3110
"161"	"AK"	2101101130100	"NORTHWEST ARCTIC BOROUGH SCHOOLS"	2188	2173	74025	16249	47196	10580	75554	15749	10047	31055	11598	7153	13385	7248	4624
"162"	"AK"	2101200630100	"KODIAK ISLAND BOROUGH SCHOOL DISTRICT"	2150	2434	53750	5515	37013	11222	57229	14891	8177	21918	9663	5591	11044	6118	3359
"163"	"AK"	2101300730100	"MATANUSKA SUSITNA BOROUGH SCHOOL DISTRICT"	2170	18742	303215	18467	222607	62141	358757	88733	49012	14763	7402	4169	8035	4734	2615
"164"	"AK"	2101500830100	"NORTH SLOPE BOROUGH SCHOOLS"	2185	2047	74050	10285	22844	40921	77190	15855	9972	36980	16193	10183	14339	7745	4872
"165"	"AK"	2102202230100	"PETERSBURG CITY SCHOOL DISTRICT"	2195	459	10479	587	7899	1993	10277	3070	1599	19941	10076	5329	11381	6688	3484
"166"	"AK"	2102402430100	"ALEUTIANS EAST BOROUGH SCHOOL DISTRICT"	2013	240	9290	2396	5749	1145	9399	2297	1277	36692	14600	8363	17600	9571	5321
"167"	"AK"	2102502530100	"LAKE AND PENINSULA BOROUGH SCHOOLS"	2060	341	19780	2087	12193	5500	20312	3435	2192	45856	18522	11581	20012	10073	6428
"168"	"AK"	2102602630100	"DENALI BOROUGH SCHOOL DISTRICT"	2068	872	10246	243	7634	2369	9707	2108	1397	11089	4120	2869	5783	2417	1602
"169"	"AK"	2102702730100	"YAKUTAT SCHOOL DISTRICT"	2282	85	2347	307	1399	641	2381	639	467	27918	10424	7600	15824	7518	5494
"170"	"AK"	2102802830100	"SKAGWAY SCHOOL DISTRICT"	2230	108	3088	41	1154	1893	2911	881	472	26111	12315	7361	15352	8157	4370
"171"	"AK"	2200100430100	"UNALASKA CITY SCHOOL DISTRICT"	2016	378	10244	338	5500	4406	9875	2742	1834	23802	10992	7198	14196	7254	4852
"172"	"AK"	2200200130100	"ANCHORAGE SCHOOL DISTRICT"	2020	48324	758779	78331	463256	217192	800058	242627	142557	14397	7598	4786	8509	5021	2950
"173"	"AK"	2200500330100	"DILLINGHAM CITY SCHOOL DISTRICT"	2070	455	12098	1802	8227	2069	12761	3795	1974	26062	11752	5826	14026	8341	4338
"174"	"AK"	2200800130100	"JUNEAU BOROUGH SCHOOL DISTRICT"	2110	4851	93302	4622	60304	28376	84571	28417	16618	16435	8874	5137	9663	5858	3426
"175"	"AK"	2201400730100	"NOME CITY SCHOOL DISTRICT"	2180	715	16027	1332	11504	3191	16978	4332	1878	23309	9617	4164	10134	6059	2627
"176"	"AK"	2201600130100	"CRAIG CITY SCHOOL DISTRICT"	2198	523	7797	1857	5144	796	8334	2147	1236	15788	7029	4115	7283	4105	2363
"177"	"AK"	2201600230100	"HYDABURG CITY SCHOOL DISTRICT"	2198	88	2757	460	1927	370	2971	745	403	31977	11716	5545	16625	8466	4580
"178"	"AK"	2201600430100	"KLAWOCK CITY SCHOOL DISTRICT"	2198	116	4145	1148	2689	308	3849	1247	763	32793	16147	10509	19414	10750	6578
"179"	"AK"	2201700130100	"SITKA BOROUGH SCHOOLS"	2220	1334	28895	2553	18239	8103	26960	9194	5374	18113	9505	5100	12143	6892	4028
"180"	"AK"	2201800230100	"HOONAH CITY SCHOOL DISTRICT"	2105	116	4166	919	2588	659	4375	1261	779	36810	16578	10371	20526	10871	6716
"182"	"AK"	2202000130100	"CORDOVA CITY SCHOOL DISTRICT"	2261	368	8039	519	5522	1998	6649	1969	1025	17622	8351	4717	9649	5351	2785
"183"	"AK"	2202000230100	"VALDEZ CITY SCHOOL DISTRICT"	2261	642	19370	583	7807	10980	18570	4714	3520	24095	11302	8109	14198	7343	5483
"184"	"AK"	2202101030100	"ST MARYS SCHOOL DISTRICT"	2158	213	10661	1222	9149	290	11557	1380	679	25371	10066	4573	12347	6479	3188
"185"	"AK"	2202200130100	"KAKE CITY SCHOOL DISTRICT"	2198	108	3776	1342	2241	193	3679	1007	495	33509	15593	8009	15491	9324	4583
"186"	"AK"	2202300530100	"GALENA CITY SCHOOL DISTRICT"	2290	4329	32928	1895	29706	1327	32884	4383	2211	6791	2268	1230	3357	1012	511
"187"	"AK"	2202301330100	"NENANA CITY SCHOOL DISTRICT"	2290	1090	11030	1284	9574	172	11138	2012	1201	9999	3669	2351	5166	1846	1102
"189"	"AK"	2203600130100	"WRANGELL CITY SCHOOL DISTRICT"	2275	274	6399	1426	4253	720	5860	1842	845	20964	10726	5580	11026	6723	3084
"190"	"AZ"	3100200230100	"FORT HUACHUCA ACCOMMODATION SCHOOL"	4003	992	14019	7699	5720	600	9946	3617	1132	9709	6044	1992	5037	3646	1141
"191"	"AZ"	3100300330100	"COCONINO COUNTY REGIONAL ACCOMODATION DISTRICT"	4005	120	2796	491	1771	534	2077	542	166	15533	8717	2608	6300	4517	1383
"192"	"AZ"	3100400430200	"GILA COUNTY REGIONAL SCHOOL DISTRICT"	4007	80	674	225	304	145	342	130	32	4275	2275	625	2388	1625	400
"194"	"AZ"	3100700730300	"MARICOPA COUNTY REGIONAL SCHOOL DISTRICT"	4013	581	3584	485	2677	422	4022	1165	410	6392	3809	1267	2888	2005	706
"197"	"AZ"	3101101130100	"MARY C OBRIEN ACCOMMODATION DISTRICT"	4021	193	5075	312	1768	2995	4726	1330	709	24399	13352	6617	11047	6891	3674
"198"	"AZ"	3101301330100	"YAVAPAI ACCOMMODATION SCHOOL DISTRICT"	4025	63	1165	60	687	418	985	243	81	15635	6952	2683	6794	3857	1286
"199"	"AZ"	3500100100000	"ALPINE SCHOOL DISTRICT 7"	4001	73	1093	208	450	435	990	406	100	13562	7603	1836	8959	5562	1370
